time_idx,level,bid_price,bid_qty,ask_price,ask_qty
0,0,83693.59,2.48791,83693.6,1.70246
0,1,83693.58,0.06711,83693.61,0.00042
0,2,83693.41,0.00103,83694.1,6e-05
0,3,83693.4,0.00289,83694.24,6e-05
0,4,83692.99,0.00621,83695.5,0.00335
0,5,83691.99,6e-05,83695.51,6e-05
0,6,83691.56,0.00014,83695.9,0.00014
0,7,83691.55,1.08637,83695.91,0.04377
0,8,83691.54,2.57151,83696.0,0.00276
0,9,83691.53,0.00014,83696.01,0.0024
1,0,83693.59,2.48791,83693.6,1.70239
1,1,83693.58,0.06711,83693.61,0.00042
1,2,83693.41,0.00103,83694.1,6e-05
1,3,83693.4,0.00289,83694.24,6e-05
1,4,83692.99,0.00621,83695.5,0.00335
1,5,83691.99,6e-05,83695.51,6e-05
1,6,83691.56,0.00014,83695.9,0.00014
1,7,83691.55,1.08637,83695.91,0.04377
1,8,83691.54,2.57151,83696.0,0.00276
1,9,83691.53,0.00014,83696.01,0.0024
2,0,83693.59,2.48791,83693.6,1.70239
2,1,83693.58,0.06711,83693.61,0.00042
2,2,83693.41,0.00103,83694.1,6e-05
2,3,83693.4,0.00289,83694.24,6e-05
2,4,83692.99,0.00621,83695.5,0.00335
2,5,83691.99,6e-05,83695.51,6e-05
2,6,83691.56,0.00014,83695.9,0.00014
2,7,83691.55,1.08637,83695.91,0.04377
2,8,83691.54,2.57151,83696.0,0.00276
2,9,83691.53,0.00014,83696.01,0.0024
3,0,83693.59,2.48791,83693.6,1.70239
3,1,83693.58,0.06711,83693.61,0.00042
3,2,83693.41,0.00103,83694.1,6e-05
3,3,83693.4,0.00289,83694.24,6e-05
3,4,83692.99,0.00621,83695.5,0.00335
3,5,83691.99,6e-05,83695.51,6e-05
3,6,83691.56,0.00014,83695.9,0.00014
3,7,83691.55,1.08637,83695.91,0.04377
3,8,83691.54,2.57151,83696.0,0.00276
3,9,83691.53,0.00014,83696.01,0.0024
4,0,83693.59,2.48791,83693.6,1.70239
4,1,83693.58,0.06711,83693.61,0.00042
4,2,83693.41,0.00027,83694.1,6e-05
4,3,83693.4,0.00289,83694.24,6e-05
4,4,83693.39,0.00079,83695.5,0.00335
4,5,83692.99,0.00621,83695.51,6e-05
4,6,83691.99,6e-05,83695.9,0.00014
4,7,83691.56,0.00014,83695.91,0.04377
4,8,83691.55,1.08637,83696.0,0.00276
4,9,83691.54,2.57151,83696.01,0.0024
5,0,83693.59,2.488,83693.6,1.70239
5,1,83693.58,0.06711,83693.61,0.00042
5,2,83693.41,0.00027,83694.1,6e-05
5,3,83693.4,0.00289,83694.24,6e-05
5,4,83693.39,0.00088,83695.5,0.00335
5,5,83692.99,0.00612,83695.51,6e-05
5,6,83692.37,0.05243,83695.9,0.00014
5,7,83691.99,6e-05,83695.91,0.04377
5,8,83691.56,0.00014,83696.0,0.00276
5,9,83691.55,1.08637,83696.01,0.0024
6,0,83693.59,2.48113,83693.6,1.97234
6,1,83693.58,0.06711,83693.61,0.00042
6,2,83693.41,0.00027,83694.1,6e-05
6,3,83693.4,0.00289,83694.24,6e-05
6,4,83693.39,0.00088,83695.5,0.00335
6,5,83692.99,0.00612,83695.51,6e-05
6,6,83692.38,0.00014,83695.9,0.00014
6,7,83692.37,0.05257,83695.91,0.04377
6,8,83691.99,6e-05,83696.0,0.00276
6,9,83691.56,0.00014,83696.01,0.0024
7,0,83693.59,2.52953,83693.6,1.17208
7,1,83693.58,0.0004,83693.61,0.00042
7,2,83693.42,0.00014,83694.1,6e-05
7,3,83693.41,0.06677,83694.24,6e-05
7,4,83693.4,0.00295,83695.5,0.00335
7,5,83693.39,0.00088,83695.51,6e-05
7,6,83692.99,0.00618,83695.9,0.00014
7,7,83692.38,0.00014,83695.91,0.04377
7,8,83692.37,0.05257,83696.0,0.00276
7,9,83691.99,6e-05,83696.01,0.0024
8,0,83693.59,2.52953,83693.6,1.17243
8,1,83693.58,0.0004,83693.61,0.00042
8,2,83693.42,0.00014,83694.1,6e-05
8,3,83693.41,0.06691,83694.24,6e-05
8,4,83693.4,0.00295,83695.5,0.00335
8,5,83693.39,0.00088,83695.51,6e-05
8,6,83692.99,0.00618,83695.9,0.00014
8,7,83692.38,0.00014,83695.91,0.04377
8,8,83692.37,0.05257,83696.0,0.00276
8,9,83691.99,6e-05,83696.01,0.0024
9,0,83693.59,2.52573,83693.6,1.1722
9,1,83693.58,0.0004,83693.61,0.00042
9,2,83693.42,0.00014,83694.1,6e-05
9,3,83693.41,0.06691,83694.24,6e-05
9,4,83693.4,0.00295,83695.5,0.00335
9,5,83693.39,0.00088,83695.51,6e-05
9,6,83692.99,0.00618,83695.9,0.00014
9,7,83692.38,0.00014,83695.91,0.04377
9,8,83692.37,0.05257,83696.0,0.00276
9,9,83691.99,6e-05,83696.01,0.0024
10,0,83693.59,2.5324,83693.6,1.1722
10,1,83693.58,0.0004,83693.61,0.00042
10,2,83693.42,0.00014,83694.1,6e-05
10,3,83693.41,0.06691,83694.24,6e-05
10,4,83693.4,0.00295,83695.5,0.00335
10,5,83693.39,0.00088,83695.51,6e-05
10,6,83692.99,0.00618,83695.9,0.00014
10,7,83692.38,0.00014,83695.91,0.04377
10,8,83692.37,0.05257,83696.0,0.00276
10,9,83691.99,6e-05,83696.01,0.0024
11,0,83686.9,0.02717,83686.91,0.99524
11,1,83686.84,6e-05,83687.18,1.15568
11,2,83686.74,6e-05,83687.95,0.5
11,3,83686.05,0.01599,83688.0,0.23157
11,4,83686.01,6e-05,83688.01,0.99524
11,5,83685.96,6e-05,83688.73,0.02117
11,6,83685.12,7e-05,83689.21,0.3
11,7,83685.04,0.00013,83689.64,0.00239
11,8,83685.0,0.0025,83690.1,0.27
11,9,83684.52,6e-05,83690.11,0.14745
12,0,83677.6,7e-05,83678.51,1.2568
12,1,83677.59,0.00273,83679.3,1.52412
12,2,83677.54,0.00013,83680.0,1.00308
12,3,83677.5,6e-05,83680.81,0.54007
12,4,83676.99,0.00012,83681.55,0.38715
12,5,83676.98,0.00927,83682.7,0.2868
12,6,83676.6,6e-05,83682.91,0.5835
12,7,83676.0,0.00103,83682.96,0.2835
12,8,83675.79,0.00014,83683.26,0.2835
12,9,83675.27,6e-05,83683.75,0.1851
13,0,83660.0,0.08525,83660.01,0.65564
13,1,83659.99,0.00677,83664.92,0.5
13,2,83659.8,0.0025,83665.04,0.49535
13,3,83659.69,0.01872,83666.98,0.78388
13,4,83659.18,0.00013,83669.33,0.40951
13,5,83658.4,6e-05,83670.58,0.0014
13,6,83658.0,0.0027,83672.84,0.5
13,7,83657.76,7e-05,83673.11,0.19955
13,8,83657.7,0.0025,83673.33,1.04932
