Date,open,high,low,close,volume
2000-01-03,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-04,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-05,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-06,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-07,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-10,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-11,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-12,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-13,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-14,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-18,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-19,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-20,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-21,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-24,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-25,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-26,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-27,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-28,4261.48,4485.39,4200.74,4285.08,795.150377
2000-01-31,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-01,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-02,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-03,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-04,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-07,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-08,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-09,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-10,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-11,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-14,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-15,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-16,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-17,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-18,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-22,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-23,4261.48,4485.39,4200.74,4285.08,795.150377
2000-02-24,4261.48,4485.39,4200.74,4285.08,795.150377
