price,volume
96376.0,8.18452
96350.13,6.72047
96411.99,3.50598
96491.58,5.55435
96508.29,11.91174
96497.67,5.28992
96485.94,10.47708
96492.07,3.30073
96536.0,10.70896
96541.36,2.34548
96576.02,12.11679
96551.57,6.4483
96540.0,4.87517
96547.87,4.42785
96566.33,2.9086
96572.0,10.04363
96557.35,7.31277
96524.2,8.82562
96529.49,2.79489
96553.61,4.48869
96584.0,5.71049
96569.72,4.87187
96565.05,5.23909
96544.0,3.98717
96555.15,4.43664
96608.0,6.06357
96548.95,8.88091
96584.0,11.74625
96604.0,3.97435
96601.41,2.5824
96616.0,5.08066
96610.47,4.88603
96616.0,5.57802
96642.67,5.91282
96672.49,12.2835
96654.65,10.04251
96608.0,14.03945
96539.47,18.19344
96488.02,24.14398
96487.82,5.57965
96447.6,7.29725
96376.0,8.16352
96365.07,13.17412
96325.18,12.84944
96272.27,16.47725
96370.08,8.24499
96341.36,14.63446
96340.01,17.42291
96333.45,20.43801
96415.21,14.13344
96391.38,8.7836
96378.04,7.36865
96368.02,11.00991
96404.64,8.80686
96436.01,14.50775
96379.09,7.091
96407.51,5.30956
96333.33,8.86942
96297.85,12.48953
96340.6,20.40787
96353.74,16.41725
96390.15,5.01047
96350.01,13.86741
96343.65,6.51289
96180.0,52.47617
96168.0,13.40146
96174.6,11.75433
96216.92,10.35924
96232.52,6.83091
96212.56,16.7865
96216.01,9.61283
96264.27,5.21862
96215.24,7.90843
96200.01,5.81836
96251.52,3.92171
96188.88,7.00814
96192.0,10.36393
96178.93,10.12437
96179.82,8.25037
96201.86,13.96067
96260.89,3.82108
96354.08,10.68628
96330.28,15.14725
96424.57,23.84199
96419.08,28.43607
96438.69,14.86965
96428.57,8.73163
96455.99,5.66177
96441.62,9.24923
96431.99,6.04596
96420.01,10.09618
96451.27,6.6447
96452.58,4.49988
96487.6,12.85298
96466.21,9.30998
96490.0,6.11704
96477.52,17.10204
96462.0,5.14747
96380.12,7.1543
96421.04,4.4261
96399.55,6.40715
96462.0,7.36776
96455.97,6.45411
